172;318
160;2571
146;2959
136;79132
132;58559
126;7153
119;5952
117;4993
111;109487
110;356
107;260
104;296
100;858
92;1196
85;527
82;112852
80;1198
80;593
79;134130
78;7361
77;1704
77;68954
75;72998
75;6539
75;74458
71;8961
70;60069
69;164179
69;3578
68;1210
68;4886
68;4973
68;99114
67;6377
67;4226
67;6874
67;2028
66;4995
66;59315
66;68157
66;4306
66;115713
64;5618
64;106782
64;48516
64;122904
63;91529
63;50
63;33794
62;2858
61;116797
60;44191
60;2762
60;89745
59;134853
59;4896
59;1270
59;47
58;541
58;5816
56;48780
56;1193
56;1682
55;54001
55;112552
54;4011
54;1
53;166528
53;7438
53;8368
53;4878
53;69844
52;1213
52;1221
52;111759
52;152081
52;50872
52;1732
51;2329
51;104841
51;1197
50;3147
50;3793
50;5989
50;5418
50;1291
49;110
49;55820
49;122882
49;76093
49;1258
49;88125
48;91500
47;112556
47;4963
47;48394
46;109374
46;81834
46;70286
46;589
46;8644
46;5349
46;480
46;168252
45;80463
45;81591
45;1265
45;1214
45;1089
44;122922
44;54286
44;293
44;40815
44;5445
43;148626
43;92259
42;1240
42;1206
42;1721
42;6373
41;46578
41;64614
41;3949
41;1136
41;8874
41;1246
41;27773
40;31658
40;56174
40;1036
40;778
40;3948
40;6016
39;68358
39;106920
38;7254
38;63082
38;364
38;56782
38;49272
38;51255
38;32587
37;115569
37;54503
37;780
37;6711
37;88129
37;1200
36;71535
36;111362
36;84152
36;68237
36;608
36;56367
36;111
36;6863
35;8665
35;2324
35;4022
35;60684
35;5218
35;5378
35;47099
35;6365
35;1387
35;1580
35;32
35;4262
34;81845
34;96610
34;33679
34;122886
34;1222
33;8361
33;6934
33;102903
33;45722
33;48385
33;78499
33;77561
32;8360
32;3114
32;5995
32;6502
32;924
32;98809
32;69122
32;64957
32;7147
31;122920
31;59784
31;76251
31;110102
31;94864
31;7451
31;102125
31;122900
31;93840
31;59369
31;115149
31;89492
30;51662
30;4720
30;49530
30;87232
30;57669
30;73017
30;2997
30;45720
30;112183
30;106100
29;106487
29;97304
29;2716
29;1625
29;3994
29;3996
29;48774
29;60074
29;86332
29;79091
29;91542
29;86882
29;2291
29;34048
29;118696
29;97913
29;1201
28;34162
28;1653
28;33493
28;108932
28;79702
28;8636
28;97938
28;1203
28;41566
28;55247
28;1961
28;53125
28;4848
28;1527
27;68319
27;93510
